电影名,评分,评分人数,想看人数,物料播放量,总票房,首周票房,首日票房
碟中谍5：神秘国度,9,878000 ,406000 ,27830000 ,869769000,553079000,108051000
火星救援,9,561000 ,131000 ,,585712000,309659000,52396000
精灵旅社2,9,161000 ,128000 ,,119645000,77949000,8129000
头脑特工队,9,91000 ,53000 ,,97230000,78564000,28932000
疯狂外星人,9,141000 ,15000 ,2770000 ,172255000,50399000,8389000
小黄人大眼萌,8.9,466000 ,393000 ,,435801000,121111000,116557000
终结者：创世纪,8.9,701000 ,381000 ,20290000 ,725358000,168126000,154393000
蚁人,8.9,668000 ,266000 ,39850000 ,671763000,272591000,76188000
复仇者联盟2：奥创纪元,8.6,1354000 ,321000 ,49860000 ,1464393000,966646000,185864000
坚不可摧,8.6,39000 ,6347 ,,36745000,14552000,4551000
灰姑娘,8.5,532000 ,75000 ,,442964000,157328000,35076000
海绵宝宝,8.5,63000 ,54000 ,,56670000,33085000,2402000
博物馆奇妙夜3,8.4,323000 ,36000 ,,322476000,29090000,28264000
极速风流,8.4,22000 ,18000 ,,20011000,11376000,3697000
超能查派,8.4,107000 ,18000 ,,103688000,64009000,16539000
极盗者,8.3,239000 ,44000 ,,248123000,76343000,18831000
蜡笔总动员,8.3,28000 ,5681 ,,6514000,3765000,1076000
绝命海拔,8.2,86000 ,49000 ,,102202000,74084000,16514000
史努比：花生大电影,8.2,31000 ,31000 ,,36669000,20017000,2665000
安妮：纽约奇缘,8.2,2826 ,3245 ,,3400000,2233000,686000
小飞侠：幻梦启航,8.1,26000 ,66000 ,,28488000,22009000,4689000
深海挑战,8.1,2547 ,9808 ,,2360000,1591000,562000
007：幽灵党,8,626000 ,268000 ,,541133000,307921000,90986000
像素大战,8,85000 ,74000 ,,100969000,77786000,12963000
移动迷宫2,7.9,215000 ,176000 ,,196857000,136784000,25006000
分歧者2：绝地反击,7.8,93000 ,44000 ,,110142000,56265000,15941000
横冲直撞好莱坞,7.7,293000 ,65000 ,,322359000,169668000,54596000
木星上行,7.7,243000 ,49000 ,,283112000,145389000,41766000
明日世界,7.7,84000 ,35000 ,,118454000,87866000,16316000
饥饿游戏3：嘲笑鸟（下）,7.6,163000 ,216000 ,,143219000,101935000,30769000
虫林大作战,8.3,2900 ,7879 ,470000 ,7739000,6635000,3371000
衣柜里的冒险王,7.9,3518 ,18000 ,410000 ,3734000,3143000,1817000
迪丽丽的奇幻巴黎,7.8,386 ,2662 ,40000 ,673000,465000,327000
监护风云,7.6,657 ,6134 ,910000 ,905000,434000,151000
爱在记忆消逝前,9,6218 ,12000 ,6990000 ,6557000,2974000,1132000
帝企鹅日记2：召唤,8.5,3787 ,20000 ,8450000 ,5692000,3829000,572000
青年马克思,8.5,2930 ,2815 ,180000 ,20784000,500000,238000
虎皮萌企鹅,8.4,6127 ,4608 ,1400000 ,8680000,6297000,683000
大坏狐狸的故事,8.3,9991 ,12000 ,4200000 ,16092000,10657000,1738000
飞鸟历险记,8.3,1475 ,10000 ,650000 ,1313000,1073000,349000
亡命救赎,8.2,12000 ,18000 ,4180000 ,14217000,11349000,5759000
了不起的菲丽西,9.1,42000 ,12000 ,,40198000,22173000,4957000
我的爸爸是森林之王,9.1,55000 ,8539 ,,56225000,15895000,7396000
星际特工：千星之城,8.3,283000 ,160000 ,,409524000,193521000,59931000
圣诞奇妙公司,8.2,3948 ,6545 ,630000 ,4932000,3020000,827000
疯狂特警队,8.2,2766 ,3336 ,260000 ,4979000,2981000,1198000
不成问题的问题,8.1,5428 ,7186 ,370000 ,7773000,5788000,1622000
嘉年华,8,21000 ,4800 ,18190000 ,22626000,12650000,2102000
刺客信条,7.4,124000 ,76000 ,,160720000,118871000,40230000
抢红,6.8,21000 ,9971 ,,16254000,13210000,5816000
境·界,7.4,5309 ,19000 ,4790000 ,3632000,3214000,1765000
龙猫,9.2,120000 ,156000 ,16020000 ,173699000,89631000,18784000
黑子的篮球·终极一战,9.1,21000 ,129000 ,560000 ,6790000,4513000,1999000
跨越8年的新娘,8.7,3771 ,9536 ,4250000 ,3117000,2160000,698000
念念手纪,8.6,6599 ,27000 ,3330000 ,4471000,2814000,1069000
恋爱回旋,8.6,21000 ,26000 ,3540000 ,18536000,11468000,3472000
生存家族,8.5,12000 ,17000 ,4030000 ,11405000,6043000,1828000
名侦探柯南：零的执行人,8.4,137000 ,133000 ,21640000 ,127366000,80883000,25897000
镰仓物语,8.4,38000 ,73000 ,19460000 ,48511000,25240000,6952000
浪矢解忧杂货店,8.4,35000 ,72000 ,6490000 ,28763000,16802000,6268000
玛丽与魔女之花,8.3,15000 ,40000 ,3750000 ,20622000,5971000,1668000
哆啦A梦：大雄的金银岛,8.2,139000 ,105000 ,15380000 ,209285000,157441000,83924000
小偷家族,8.1,61000 ,107000 ,27130000 ,96749000,48395000,13399000
昼颜,8.1,15000 ,25000 ,26150000 ,14337000,7554000,2472000
哥斯拉：怪兽行星,7.8,2499 ,25000 ,390000 ,1615000,1050000,263000
肆式青春,7.7,7800 ,48000 ,6990000 ,2827000,1498000,906000
第三度嫌疑人,7.7,3608 ,13000 ,820000 ,4522000,2248000,691000
刀剑神域：序列之争,9.2,97000 ,78000 ,,53946000,40710000,11920000
哆啦A梦：大雄的南极冰冰凉大冒险,8.6,121000 ,46000 ,1250000 ,148896000,115143000,33896000
深夜食堂2,8.4,14000 ,26000 ,,13880000,11421000,4320000
精灵宝可梦：波尔凯尼恩与机巧的玛机雅娜,8.4,20000 ,14000 ,2120000 ,25650000,15464000,8483000
声之形,8.3,67000 ,53000 ,5400000 ,44539000,33096000,9510000
与君相恋100次,8.2,19000 ,18000 ,,13465000,9122000,3816000
银魂 真人版,7.9,98000 ,131000 ,,81430000,60992000,22531000
火影忍者剧场版：博人传,9.3,171000 ,76000 ,,103053000,61606000,19149000
你的名字。,9.2,734000 ,277000 ,,575681000,286534000,76291000
航海王之黄金城,9,152000 ,118000 ,,107161000,69782000,23680000
垫底辣妹,8.9,56000 ,17000 ,,37449000,21370000,6179000
名侦探柯南：纯黑的恶梦,8.6,43000 ,43000 ,,31035000,23086000,5222000
蜡笔小新：梦境世界大突击,8.5,25000 ,28000 ,,22425000,16442000,3128000
哆啦A梦：新·大雄的日本诞生,8.4,173000 ,123000 ,,103403000,54379000,16269000
寄生兽,8.4,63000 ,42000 ,,48232000,25161000,6936000
樱桃小丸子：来自意大利的少年,8.3,26000 ,50000 ,,25840000,18986000,4909000
龙珠Z：复活的弗利萨,7.9,12000 ,27000 ,,10983000,9164000,1935000
圣斗士星矢：圣域传说,7.6,43000 ,48000 ,,37788000,29380000,9271000
