水质类别,序号,R通道一阶矩,G通道一阶矩,B通道一阶矩,R通道二阶矩,G通道二阶矩,B通道二阶矩,R通道三阶矩,G通道三阶矩,B通道三阶矩
1.0,1.0,0.5827611764705882,0.543678823529412,0.25242901960784314,0.014219222381027284,0.01617842098283655,0.04112129704876417,-0.01261608323588342,-0.0160626286558456,-0.04142084555257875
1.0,10.0,0.6418776470588233,0.5707792156862747,0.2135611764705878,0.01538576390779893,0.011117649348134081,0.013643026443930558,-0.009580794540585682,-0.003776926120271588,-0.003660260640928525
1.0,11.0,0.6037196078431373,0.5767882352941182,0.2821866666666665,0.008661827901275293,0.007072143206609618,0.01221756019995495,-0.004718026306724276,-0.0026253016870609516,-0.00947759199969341
1.0,12.0,0.5897078431372548,0.5937196078431372,0.2522031372549015,0.007902617352181115,0.005937386677119235,0.010584008422828379,-0.0033780100739666955,-0.003397407419729927,-0.005270023754869166
1.0,13.0,0.5911294117647057,0.592054117647059,0.2534298039215682,0.00746248441117847,0.006502137654587149,0.012149191026525197,-0.0013432404946671184,-0.002167726486636351,-0.0047763276793277775
1.0,14.0,0.5887678431372552,0.5696823529411763,0.3188945098039212,0.00752998196370365,0.0050257912282747775,0.00840690694780582,-0.003656727455782196,-0.001842329852264521,-0.005825317240234483
1.0,15.0,0.5885149019607852,0.573241568627451,0.2883270588235289,0.007297507445514484,0.005083255245490957,0.011635402128803363,-0.003100555044512605,-0.0008898710156996438,-0.008542775852688377
1.0,16.0,0.6181294117647067,0.5396921568627455,0.2745360784313724,0.008550522443910755,0.006171753879074226,0.014560829787163032,-0.0024762272155972173,-0.0036708093019229395,-0.013987321550790232
1.0,17.0,0.6184709803921573,0.5392243137254908,0.27356352941176426,0.008899505569684862,0.005844578266843775,0.014155110591695474,-0.0031226222422507163,-0.003312514889690026,-0.014492304485479474
1.0,18.0,0.6642462745098041,0.5763568627450988,0.29375372549019585,0.01096011023217479,0.007719973146989223,0.01897520110507621,-0.005269143697595666,-0.004132009333319572,-0.0127351890372869
1.0,19.0,0.7006988235294123,0.6013341176470599,0.29312235294117606,0.008361171274567977,0.007123736346254654,0.013203977800563945,-0.0018656994093758912,-0.0018405443298125598,-0.005428805841733131
1.0,2.0,0.5638388235294125,0.5349650980392163,0.27185254901960754,0.009739091366939453,0.00782130371800562,0.011826672258131986,-0.005271454329118821,-0.0031364744393554004,-0.0054500547988922884
1.0,20.0,0.6221223529411766,0.5485180392156862,0.26626980392156835,0.010042633119318982,0.005772492526897507,0.011917155116984764,-0.002240582240774237,-0.0025952175613258082,-0.008996988150251368
